TimeStamp,gX,gY,gZ,gUserX,gUserY,gUserZ
20-May-2019 08:19:40.89,0.009293,-0.340179,-0.902313,-0.000592,0.029512,0.026789
20-May-2019 08:19:40.90,0.023575,-0.370239,-0.889587,-0.000592,0.029512,0.026789
20-May-2019 08:19:40.91,0.044449,-0.397568,-0.896057,0.017531,0.005834,0.036983
20-May-2019 08:19:40.93,0.028366,-0.418259,-0.911728,0.043222,-0.018132,0.029160
20-May-2019 08:19:40.94,0.028366,-0.418259,-0.911728,0.028387,-0.038438,0.013332
20-May-2019 08:19:40.94,0.021118,-0.416275,-0.928940,0.029935,-0.038857,0.013503
20-May-2019 08:19:40.96,-0.008545,-0.376587,-0.969421,0.022152,-0.039692,-0.002558
20-May-2019 08:19:40.96,-0.008545,-0.376587,-0.969421,-0.008039,-0.001843,-0.042293
20-May-2019 08:19:40.97,-0.005829,-0.368912,-0.969238,-0.008039,-0.001843,-0.042293
20-May-2019 08:19:40.98,0.005859,-0.365265,-0.958969,-0.010204,0.003643,-0.041238
20-May-2019 08:19:40.99,0.014709,-0.364609,-0.926147,-0.002700,0.005907,-0.030445
20-May-2019 08:19:41.00,0.032028,-0.366821,-0.904495,0.003846,0.006404,0.002417
20-May-2019 08:19:41.01,0.048416,-0.365295,-0.878723,0.016045,0.006107,0.023227
20-May-2019 08:19:41.02,0.045929,-0.372696,-0.868515,0.030477,0.009843,0.048072
20-May-2019 08:19:41.03,0.028290,-0.383759,-0.850296,0.028457,0.003196,0.057984
20-May-2019 08:19:41.04,0.024658,-0.389862,-0.849930,0.013305,-0.006711,0.075777
20-May-2019 08:19:41.05,0.019821,-0.388290,-0.851593,0.010688,-0.011673,0.075693
20-May-2019 08:19:41.06,0.012985,-0.386002,-0.855194,0.006021,-0.009482,0.073779
20-May-2019 08:19:41.07,0.008438,-0.353607,-0.915329,-0.000710,-0.009261,0.071024
20-May-2019 08:19:41.08,-0.016602,-0.314529,-1.032288,-0.006498,0.014796,0.014217
20-May-2019 08:19:41.09,-0.035461,-0.306610,-1.032944,-0.031478,0.050555,-0.101432
20-May-2019 08:19:41.10,-0.018188,-0.321350,-1.036591,-0.049799,0.054705,-0.100610
20-May-2019 08:19:41.11,0.002899,-0.324173,-0.998276,-0.033610,0.043576,-0.105682
20-May-2019 08:19:41.12,0.020340,-0.336929,-0.952255,-0.013935,0.045661,-0.069330
20-May-2019 08:19:41.13,0.038101,-0.366608,-0.916672,0.019727,0.010829,0.009181
20-May-2019 08:19:41.14,0.057755,-0.391647,-0.907013,0.039386,-0.011788,0.017849
20-May-2019 08:19:41.15,0.061157,-0.407822,-0.878082,0.039386,-0.011788,0.017849
20-May-2019 08:19:41.16,0.060349,-0.422821,-0.853470,0.042884,-0.022861,0.044670
20-May-2019 08:19:41.17,0.054825,-0.434845,-0.831375,0.044411,-0.031612,0.066694
20-May-2019 08:19:41.18,0.037628,-0.437317,-0.813995,0.039960,-0.043667,0.088820
20-May-2019 08:19:41.19,0.019608,-0.427231,-0.819931,0.039960,-0.043667,0.088820
20-May-2019 08:19:41.19,-0.016052,-0.409515,-0.885605,0.004024,-0.033653,0.099228
20-May-2019 08:19:41.21,-0.036530,-0.381821,-0.917465,-0.030431,-0.019594,0.035131
20-May-2019 08:19:41.21,-0.034943,-0.354889,-0.956406,-0.050936,0.005190,0.004498
20-May-2019 08:19:41.23,-0.023209,-0.348038,-0.968643,-0.048418,0.031454,-0.034149
20-May-2019 08:19:41.24,-0.009384,-0.354904,-0.955322,-0.033955,0.042675,-0.048193
20-May-2019 08:19:41.25,0.007782,-0.357910,-0.937424,-0.033955,0.042675,-0.048193
20-May-2019 08:19:41.26,0.018799,-0.368469,-0.905273,-0.001546,0.033603,-0.017298
20-May-2019 08:19:41.26,0.029373,-0.391556,-0.893845,0.013104,0.028714,0.012448
20-May-2019 08:19:41.28,0.023651,-0.401825,-0.883606,0.019668,-0.001559,0.032784
20-May-2019 08:19:41.28,0.013229,-0.412628,-0.888702,0.019668,-0.001559,0.032784
20-May-2019 08:19:41.29,0.011414,-0.425232,-0.893997,0.008794,-0.011034,0.027105
20-May-2019 08:19:41.30,0.006485,-0.430908,-0.892929,0.006725,-0.024076,0.022000
20-May-2019 08:19:41.32,-0.008850,-0.409912,-0.924835,0.001847,-0.030960,0.023597
20-May-2019 08:19:41.33,-0.026413,-0.369034,-0.979813,-0.013468,-0.010073,-0.008261
20-May-2019 08:19:41.33,-0.027344,-0.359131,-0.999924,-0.013468,-0.010073,-0.008261
20-May-2019 08:19:41.34,-0.003189,-0.358185,-0.991409,-0.030936,0.039165,-0.082674
20-May-2019 08:19:41.35,0.013519,-0.369293,-0.957581,-0.008221,0.045413,-0.076487
20-May-2019 08:19:41.36,0.033234,-0.385422,-0.905853,0.006790,0.039138,-0.044816
20-May-2019 08:19:41.37,0.051254,-0.402832,-0.873871,0.025523,0.025532,0.005770
20-May-2019 08:19:41.38,0.062729,-0.425613,-0.830170,0.040721,0.013073,0.035476
20-May-2019 08:19:41.39,0.062653,-0.440140,-0.797501,0.049280,-0.004575,0.076774
20-May-2019 08:19:41.41,0.040634,-0.436615,-0.861786,0.045595,-0.018201,0.108963
20-May-2019 08:19:41.42,0.040634,-0.436615,-0.861786,0.020688,-0.016301,0.045374
20-May-2019 08:19:41.42,0.019440,-0.433151,-0.887924,0.020688,-0.016301,0.045374
20-May-2019 08:19:41.43,0.019684,-0.431412,-0.925430,-0.000917,-0.012315,0.018984
20-May-2019 08:19:41.44,0.001251,-0.414978,-0.983856,-0.018501,0.006544,-0.077253
20-May-2019 08:19:41.45,-0.018250,-0.404999,-0.980377,-0.016160,0.009567,-0.078617
20-May-2019 08:19:41.47,0.007126,-0.419998,-0.915970,-0.031555,0.027495,-0.078838
20-May-2019 08:19:41.48,0.007126,-0.419998,-0.915970,-0.004751,0.020649,-0.018368
20-May-2019 08:19:41.48,0.009857,-0.437317,-0.860229,-0.004751,0.020649,-0.018368
20-May-2019 08:19:41.49,0.020798,-0.451126,-0.826859,-0.005761,0.008013,0.035001
20-May-2019 08:19:41.50,0.040222,-0.467514,-0.805588,-0.005761,0.008013,0.035001
20-May-2019 08:19:41.51,0.040604,-0.475082,-0.792236,0.017229,-0.022091,0.089437
20-May-2019 08:19:41.53,0.036743,-0.469757,-0.762512,0.010995,-0.032963,0.104231
20-May-2019 08:19:41.54,0.036743,-0.469757,-0.762512,0.004218,-0.033353,0.136650
20-May-2019 08:19:41.54,0.026428,-0.445984,-0.781067,0.004218,-0.033353,0.136650
20-May-2019 08:19:41.55,0.021591,-0.421234,-0.821442,-0.006147,-0.011772,0.119155
20-May-2019 08:19:41.56,-0.000214,-0.391235,-0.948166,-0.009665,0.009138,0.080669
20-May-2019 08:19:41.58,-0.043213,-0.365601,-1.021118,-0.026839,0.034522,-0.043720
20-May-2019 08:19:41.59,-0.017441,-0.379227,-1.007675,-0.066257,0.060006,-0.116503
20-May-2019 08:19:41.60,-0.017441,-0.379227,-1.007675,-0.040769,0.047155,-0.103433
20-May-2019 08:19:41.61,0.022507,-0.387512,-0.968124,-0.043571,0.049082,-0.104421
20-May-2019 08:19:41.62,0.075470,-0.452530,-0.877396,-0.011663,0.040800,-0.065140
20-May-2019 08:19:41.63,0.075470,-0.452530,-0.877396,0.038005,-0.023707,0.025216
20-May-2019 08:19:41.64,0.082092,-0.481369,-0.875107,0.031794,-0.022937,0.024570
